mm,N,Def 2,Cont
"2,421162466","904,2337646","6,3","30,7"
"2,429762531","908,1641235","6,4","30,8"
"2,437862244","909,0166626","6,4","30,9"
"2,446262541","912,4621582","6,4","31,0"
"2,45446237","913,4880981","6,4","31,0"
"2,462962319","916,0270386","6,4","31,1"
"2,471262498","918,211792","6,5","31,2"
"2,479562445","919,2077637","6,5","31,2"
"2,487862625","920,2362671","6,5","31,3"
"2,496062454","924,7999268","6,5","31,4"
"2,50466252","926,2677612","6,6","31,5"
"2,512962466","927,7798462","6,6","31,5"
"2,521262413","931,4083862","6,6","31,6"
"2,529462476","932,4100342","6,6","31,7"
"2,53786254","933,1430054","6,6","31,7"
"2,546462372","936,0562134","6,7","31,8"
"2,55456255","938,0596313","6,7","31,9"
"2,562962382","938,5339966","6,7","31,9"
"2,57106256","940,9605103","6,7","32,0"
"2,579662392","943,9492798","6,8","32,1"
"2,588062456","945,6013794","6,8","32,1"
"2,596162402","946,722229","6,8","32,2"
"2,604562465","948,7785645","6,8","32,2"
"2,612762295","949,5551758","6,8","32,3"
"2,621362361","951,0939941","6,9","32,3"
"2,629562423","954,5969238","6,9","32,4"
"2,63786237","956,5310669","6,9","32,5"
"2,646162549","957,4972534","6,9","32,5"
"2,654462496","958,9801025","6,9","32,6"
"2,663062562","962,2547607","7,0","32,7"
"2,671162507","963,3668823","7,0","32,7"
"2,679562571","965,6705933","7,0","32,8"
"2,687762401","967,4605103","7,0","32,9"
"2,696262582","970,1668091","7,1","33,0"
"2,704662413","970,1738281","7,1","33,0"
"2,712862475","973,1570435","7,1","33,1"
"2,721162422","976,5951538","7,1","33,2"
"2,729462369","975,2070313","7,1","33,1"
"2,738062434","977,2730713","7,2","33,2"
"2,746262497","979,1913452","7,2","33,3"
"2,754562211","980,4338989","7,2","33,3"
"2,76286239","983,109314","7,2","33,4"
"2,771262454","984,3078003","7,3","33,4"
"2,779762403","984,7838135","7,3","33,5"
"2,787862581","986,3533325","7,3","33,5"
"2,796262412","988,7392578","7,3","33,6"
"2,80436259","990,2387695","7,3","33,6"
"2,812962423","992,4949341","7,4","33,7"
"2,821362486","994,960022","7,4","33,8"
"2,829562316","995,3603516","7,4","33,8"
"2,837862496","997,9558716","7,4","33,9"
"2,846062325","998,44104","7,5","33,9"
"2,854662391","1000,600281","7,5","34,0"
"2,862962338","1003,211365","7,5","34,1"
"2,871262517","1004,404907","7,5","34,1"
"2,879462347","1005,837463","7,5","34,2"
"2,887862411","1007,630798","7,6","34,2"
"2,896462476","1008,930298","7,6","34,3"
"2,904562422","1010,661011","7,6","34,3"
"2,912962485","1013,22876","7,6","34,4"
"2,921162548","1014,749451","7,6","34,5"
"2,929762613","1015,219666","7,7","34,5"
"2,937962443","1016,677673","7,7","34,5"
"2,946162505","1017,567566","7,7","34,6"
"2,954562337","1019,514954","7,7","34,6"
"2,962762632","1019,49585","7,8","34,6"
"2,971362465","1022,696594","7,8","34,7"
"2,979562527","1024,19397","7,8","34,8"
"2,987862474","1027,241089","7,8","34,9"
"2,996062536","1026,387573","7,8","34,9"
"3,004562252","1028,660522","7,9","34,9"
"3,013062433","1030,887573","7,9","35,0"
"3,021262262","1029,699951","7,9","35,0"
"3,029562442","1031,359375","7,9","35,0"
"3,037662387","1033,398926","8,0","35,1"
"3,046262453","1035,607788","8,0","35,2"
"3,054662517","1036,633179","8,0","35,2"
"3,062862346","1037,565063","8,0","35,2"
"3,071262643","1038,733521","8,0","35,3"
"3,079462473","1039,593262","8,1","35,3"
"3,088062538","1040,046143","8,1","35,3"
"3,096262368","1041,962646","8,1","35,4"
"3,104562547","1042,813599","8,1","35,4"
"3,112862494","1044,99292","8,1","35,5"
"3,121262558","1045,819336","8,2","35,5"
"3,129662389","1047,883911","8,2","35,6"
"3,137862452","1049,637451","8,2","35,7"
"3,146262283","1050,688721","8,2","35,7"
"3,154362461","1050,850464","8,3","35,7"
"3,162962294","1053,669067","8,3","35,8"
"3,171362358","1055,668457","8,3","35,9"
"3,17956242","1053,969238","8,3","35,8"
"3,187962484","1054,570801","8,3","35,8"
"3,196062429","1059,275635","8,4","36,0"
"3,204762379","1058,829712","8,4","36,0"
"3,212962442","1059,409668","8,4","36,0"
"3,221162504","1061,161987","8,4","36,0"
"3,229462218","1061,156982","8,5","36,0"
"3,237762398","1062,907959","8,5","36,1"
"3,246362463","1064,549316","8,5","36,2"
"3,254562293","1065,880737","8,5","36,2"
"3,262862472","1066,962524","8,5","36,2"
