mm,N,Def 5,Cont
"1,934198941","790,18927","4,8","26,3"
"1,942398887","793,0307617","4,8","26,4"
"1,950798834","798,0513306","4,8","26,5"
"1,958998897","796,0187378","4,8","26,5"
"1,967698963","800,25354","4,9","26,6"
"1,975798908","802,359436","4,9","26,7"
"1,984098855","804,9699707","4,9","26,8"
"1,992298918","806,0553589","4,9","26,8"
"2,000698982","807,7409058","4,9","26,9"
"2,00919893","810,7936401","5,0","27,0"
"2,017398992","813,9761353","5,0","27,1"
"2,025798823","813,9440918","5,0","27,1"
"2,033899002","817,2440186","5,0","27,2"
"2,042498834","818,7682495","5,0","27,2"
"2,050898898","821,2567139","5,1","27,3"
"2,059098728","822,897644","5,1","27,4"
"2,067398907","825,9649658","5,1","27,5"
"2,075698854","828,1394043","5,1","27,5"
"2,08429892","828,3413696","5,1","27,5"
"2,092498982","833,8501587","5,2","27,7"
"2,100798929","832,8901367","5,2","27,7"
"2,108998991","835,9227295","5,2","27,8"
"2,117398822","835,3076172","5,2","27,8"
"2,125998888","839,1330566","5,2","27,9"
"2,134098833","840,3843384","5,3","27,9"
"2,142399013","842,6304932","5,3","28,0"
"2,150598842","844,9663086","5,3","28,1"
"2,159198908","847,7481689","5,3","28,2"
"2,167498855","852,0308838","5,4","28,3"
"2,175698917","852,4194946","5,4","28,3"
"2,184098748","852,0058594","5,4","28,3"
"2,192198926","855,5997314","5,4","28,4"
"2,200899109","857,8235474","5,4","28,5"
"2,209098939","858,7538452","5,5","28,5"
"2,217398885","861,2209473","5,5","28,6"
"2,225698832","863,4668579","5,5","28,7"
"2,233998779","863,2911377","5,5","28,7"
"2,242598845","868,6781006","5,5","28,9"
"2,250699023","868,0668335","5,6","28,9"
"2,259098854","870,5276489","5,6","28,9"
"2,267298916","871,9777832","5,6","29,0"
"2,275898749","873,4240723","5,6","29,0"
"2,284198928","876,9104614","5,6","29,2"
"2,292398758","877,8134155","5,7","29,2"
"2,300799055","879,8649292","5,7","29,3"
"2,308898767","880,9995117","5,7","29,3"
"2,31759895","883,3770142","5,7","29,4"
"2,325698895","886,0019531","5,7","29,5"
"2,334098959","886,3024292","5,8","29,5"
"2,342298789","887,1604004","5,8","29,5"
"2,350598968","889,2439575","5,8","29,6"
"2,359198801","892,4921265","5,8","29,7"
"2,367398863","892,2930298","5,8","29,7"
"2,37569881","894,3719482","5,9","29,7"
"2,383898873","894,2357178","5,9","29,7"
"2,392399054","898,1533203","5,9","29,9"
"2,400798885","898,4963989","5,9","29,9"
"2,408998947","901,6199951","5,9","30,0"
"2,417398779","903,1987305","6,0","30,0"
"2,425498724","904,5773315","6,0","30,1"
"2,434198906","905,6057739","6,0","30,1"
"2,442398969","908,3950806","6,0","30,2"
"2,450698916","909,197937","6,1","30,2"
"2,458998862","910,9264526","6,1","30,3"
"2,467298809","912,3225098","6,1","30,3"
"2,475898875","913,6952515","6,1","30,4"
"2,48399882","914,5297241","6,1","30,4"
"2,492398884","916,6400146","6,2","30,5"
"2,500598946","918,2753906","6,2","30,5"
"2,509199012","920,6544189","6,2","30,6"
"2,517498726","920,5827637","6,2","30,6"
"2,525699021","922,116272","6,2","30,7"
"2,534099085","925,0942993","6,3","30,8"
"2,542298915","925,7689209","6,3","30,8"
"2,55089898","927,7075195","6,3","30,8"
"2,55909881","928,414856","6,3","30,9"
"2,567398989","931,0846558","6,3","31,0"
"2,575698936","930,7375488","6,4","30,9"
"2,583998883","932,3581543","6,4","31,0"
"2,592498831","934,8152466","6,4","31,1"
"2,600799011","935,3634644","6,4","31,1"
"2,609098958","935,9338989","6,4","31,1"
"2,61729902","937,3847656","6,5","31,2"
"2,625798736","939,6843872","6,5","31,2"
"2,634199032","940,3033447","6,5","31,3"
"2,642398862","942,9052734","6,5","31,3"
"2,650699042","944,4263306","6,5","31,4"
"2,658998756","944,5182495","6,6","31,4"
"2,667598821","945,4749756","6,6","31,4"
"2,675799116","947,9104004","6,6","31,5"
"2,68409883","947,4025269","6,6","31,5"
"2,692298893","950,4822998","6,6","31,6"
"2,700698957","950,4353027","6,7","31,6"
"2,709198905","951,8751221","6,7","31,6"
"2,717398967","952,9443359","6,7","31,7"
"2,725799031","956,6882324","6,7","31,8"
"2,733898977","956,8057251","6,8","31,8"
"2,742398925","955,1763916","6,8","31,8"
"2,750798756","958,1618652","6,8","31,9"
"2,758999051","959,5507813","6,8","31,9"
"2,767398882","959,6260376","6,8","31,9"
"2,775598945","963,5404053","6,9","32,0"
"2,784298895","963,0028687","6,9","32,0"
"2,792498957","963,09021","6,9","32,0"
"2,800798904","963,3064575","6,9","32,0"
"2,808998966","966,9707642","6,9","32,1"
"2,817398798","965,6014404","7,0","32,1"
"2,825898979","969,4450684","7,0","32,2"
"2,834098808","968,3265991","7,0","32,2"
"2,842498872","970,4057007","7,0","32,3"
"2,850598818","970,4681396","7,0","32,3"
"2,859298767","970,975708","7,1","32,3"
"2,867499063","972,9464722","7,1","32,3"
"2,875698892","972,3735352","7,1","32,3"
"2,884098956","974,5877686","7,1","32,4"
"2,892298786","975,7644043","7,1","32,4"
"2,900898851","975,8757935","7,2","32,4"
"2,909098914","977,0340576","7,2","32,5"
"2,917498978","977,6668701","7,2","32,5"
"2,925598923","977,6331177","7,2","32,5"
"2,934098871","980,3086548","7,2","32,6"
"2,94259882","981,878418","7,3","32,6"
"2,950698998","981,3571777","7,3","32,6"
"2,959098829","980,7636108","7,3","32,6"
"2,967298891","983,4359131","7,3","32,7"
"2,97579884","983,7470703","7,3","32,7"
"2,984198903","985,5881348","7,4","32,8"
"2,992398733","987,2507935","7,4","32,8"
"3,000798797","986,4171143","7,4","32,8"
"3,008999092","986,8491211","7,4","32,8"
"3,017598925","988,756897","7,5","32,9"
"3,025798987","989,4204712","7,5","32,9"
"3,034198819","988,8692017","7,5","32,9"
"3,042298997","989,7350464","7,5","32,9"
"3,050798945","991,0294189","7,5","32,9"
"3,059298893","992,2835693","7,6","33,0"
"3,067398839","993,0671997","7,6","33,0"
"3,075798902","993,5335083","7,6","33,0"
"3,083898848","992,9159546","7,6","33,0"
"3,09259903","995,1751099","7,6","33,1"
"3,10079886","995,5100098","7,7","33,1"
"3,10909904","995,8729248","7,7","33,1"
"3,117398754","996,0570679","7,7","33,1"
"3,125599049","998,4929199","7,7","33,2"
"3,134199114","998,5627441","7,7","33,2"
"3,142398944","999,5942993","7,8","33,2"
"3,150799008","999,0753174","7,8","33,2"
"3,158898953","998,6591187","7,8","33,2"
"3,167398901","1000,217041","7,8","33,3"
"3,17589885","1000,847839","7,8","33,3"
"3,184098912","1001,583557","7,9","33,3"
"3,192498743","1002,054688","7,9","33,3"
"3,200699039","1003,053406","7,9","33,3"
"3,209298871","1003,787476","7,9","33,4"
"3,217599051","1004,788635","7,9","33,4"
"3,22579888","1004,780212","8,0","33,4"
"3,23409906","1006,304871","8,0","33,5"
"3,242398774","1005,32196","8,0","33,4"
"3,250898955","1005,669312","8,0","33,4"
"3,259098785","1006,25","8,0","33,5"
"3,267398964","1005,474792","8,1","33,4"
"3,275598794","1005,414612","8,1","33,4"
"3,284098975","1005,290527","8,1","33,4"
"3,292598923","1007,578613","8,1","33,5"
"3,300698869","1007,119751","8,1","33,5"
"3,308998816","1007,423584","8,2","33,5"
"3,317198878","1006,76062","8,2","33,5"
"3,325899061","1008,082642","8,2","33,5"
"3,33409889","1006,71582","8,2","33,5"
"3,34239907","1009,111389","8,3","33,5"
"3,350698784","1010,173706","8,3","33,6"
